DATE,PCE,DSPI
1/1/59,306.1,351.5
2/1/59,309.6,352.9
3/1/59,312.7,355.2
4/1/59,312.2,358.2
5/1/59,316.1,360.3
6/1/59,318.2,362.6
7/1/59,317.8,362.8
8/1/59,320.2,361.2
9/1/59,324.2,362.3
10/1/59,322.8,363.4
11/1/59,322.9,366.3
12/1/59,322.9,370.2
1/1/60,323.6,370.8
2/1/60,325.3,371.3
3/1/60,330.2,371.9
4/1/60,336.5,374.7
5/1/60,330,376
6/1/60,330.1,376.5
7/1/60,331.4,377.7
8/1/60,331.6,377.5
9/1/60,333.4,378.3
10/1/60,335.4,380.1
11/1/60,335.4,379.8
12/1/60,331.3,378.2
1/1/61,332.2,381.9
2/1/61,333.7,383.8
3/1/61,337.7,385.2
4/1/61,337.6,385.8
5/1/61,339.9,389.2
6/1/61,340.9,393.3
7/1/61,340.6,395.5
8/1/61,342.1,395.9
9/1/61,344.4,396.7
10/1/61,346.5,400.8
11/1/61,349.9,404.6
12/1/61,352.4,407.1
1/1/62,353.2,406.9
2/1/62,354,409.8
3/1/62,357.4,413.1
4/1/62,359,415.4
5/1/62,362,415.9
6/1/62,360.4,416.2
7/1/62,361.4,417.8
8/1/62,362.9,418.8
9/1/62,368.8,421
10/1/62,366.5,422.6
11/1/62,371.7,424.1
12/1/62,373.6,425.9
1/1/63,374.4,430
2/1/63,373.4,427.9
3/1/63,375,429.4
4/1/63,376.4,431.1
5/1/63,377.2,433.5
6/1/63,381.7,436.6
7/1/63,384.4,438
8/1/63,386.3,440.3
9/1/63,385.5,443.5
10/1/63,386,447
11/1/63,389.4,448.5
12/1/63,394.7,452.8
1/1/64,396.8,455.3
2/1/64,400.2,457.4
3/1/64,401.8,468.5
4/1/64,402.8,471.4
5/1/64,408.4,473.9
6/1/64,411.4,476.2
7/1/64,414.9,479
8/1/64,417.7,481.5
9/1/64,416.6,484.2
10/1/64,419.6,484.3
11/1/64,416.4,488.1
12/1/64,421,493.5
1/1/65,424.4,495
2/1/65,431.4,495.4
3/1/65,433.3,497.7
4/1/65,437.1,499
5/1/65,437.6,505.6
6/1/65,435.2,507.8
7/1/65,441,513.5
8/1/65,444.4,516.2
9/1/65,452,529.9
10/1/65,458.5,527.5
11/1/65,459.1,532.1
12/1/65,461.7,536.3
1/1/66,465.2,537.2
2/1/66,470.2,541.7
3/1/66,475,545.2
4/1/66,476.9,545
5/1/66,473.1,546.5
6/1/66,475.5,550.2
7/1/66,480.6,553.1
8/1/66,483.2,558.1
9/1/66,489.2,563.2
10/1/66,488.3,566.5
11/1/66,490.1,570
12/1/66,491.8,570.7
1/1/67,494.2,576.6
2/1/67,493,578.4
3/1/67,495.8,583
4/1/67,501.3,583.8
5/1/67,502.2,586.1
6/1/67,506.8,590.2
7/1/67,506.7,594.5
8/1/67,509.8,598.5
9/1/67,515.6,600.2
10/1/67,512.2,602.8
11/1/67,517.4,608.5
12/1/67,525.1,610.5
1/1/68,530.9,616.7
2/1/68,533.6,623.6
3/1/68,544.3,631.6
4/1/68,544,635.7
5/1/68,549.8,640.7
6/1/68,556.3,645.6
7/1/68,563.2,646.3
8/1/68,567,649.8
9/1/68,568.2,652.1
10/1/68,571.6,657.3
11/1/68,576.7,662
12/1/68,576.5,665.7
1/1/69,583.5,667.1
2/1/69,588.7,668.9
3/1/69,588.9,673.3
4/1/69,593.9,675.3
5/1/69,600.3,685.7
6/1/69,600.9,693.9
7/1/69,602.7,701.8
8/1/69,609.9,708.1
9/1/69,613.2,712.6
10/1/69,618.5,716.7
11/1/69,620.5,721
12/1/69,622.8,725.7
1/1/70,628.7,732.1
2/1/70,634,737.4
3/1/70,632.3,742
4/1/70,636,753.8
5/1/70,642.4,753.1
6/1/70,646.3,756.6
7/1/70,648.5,770.2
8/1/70,652.9,774.6
9/1/70,659.1,777.3
10/1/70,658.3,778.6
11/1/70,656.6,780.5
12/1/70,665.6,787.5
1/1/71,676.1,801.3
2/1/71,679.4,804.7
3/1/71,682,810
4/1/71,688.8,814.9
5/1/71,691.1,821.6
6/1/71,699.8,842.6
7/1/71,698.9,833.2
8/1/71,704.9,838.5
9/1/71,713,844.7
10/1/71,715.8,848.8
11/1/71,720.9,852.5
12/1/71,728.4,860.2
1/1/72,731.5,859.4
2/1/72,736.2,868
3/1/72,749.2,872.9
4/1/72,752.5,873.9
5/1/72,758,882.2
6/1/72,761.6,886.4
7/1/72,769.9,896
8/1/72,776.3,907
9/1/72,781.1,914.6
10/1/72,794.9,938.6
11/1/72,800.5,951.8
12/1/72,806.1,959.2
1/1/73,816.5,957.1
2/1/73,825.8,969.3
3/1/73,832.8,979.7
4/1/73,835.7,988.3
5/1/73,841.6,995
6/1/73,844.3,1003.7
7/1/73,854.1,1009.8
8/1/73,853.3,1018.1
9/1/73,869.2,1027.4
10/1/73,868.2,1042.3
11/1/73,876.9,1052.5
12/1/73,876.6,1057.3
1/1/74,884.5,1059.6
2/1/74,889.7,1063.9
